Year,Units,Name of international institution,Value
2000,Membership(Percentage(%)),ADB,1.69492
2000,Membership(Percentage(%)),AFDB,1.2987
2000,Membership(Percentage(%)),IABD,0.0
2000,Membership(Percentage(%)),IBRD,0.54945
2000,Membership(Percentage(%)),IFC,0.57471
2000,Membership(Percentage(%)),IMF,0.5618
2000,Membership(Percentage(%)),UNGA,0.5291
2000,Membership(Percentage(%)),WTO,0.71429
2005,Membership(Percentage(%)),ADB,1.5625
2005,Membership(Percentage(%)),AFDB,1.2987
2005,Membership(Percentage(%)),ECOSOC,1.85185
2005,Membership(Percentage(%)),IABD,2.12766
2005,Membership(Percentage(%)),IBRD,0.54348
2005,Membership(Percentage(%)),IFC,0.5618
2005,Membership(Percentage(%)),IMF,0.5524899999999999
2005,Membership(Percentage(%)),UNGA,0.52356
2005,Membership(Percentage(%)),WTO,0.67114
2010,Membership(Percentage(%)),ADB,1.49254
2010,Membership(Percentage(%)),AFDB,1.2987
2010,Membership(Percentage(%)),ECOSOC,1.85185
2010,Membership(Percentage(%)),FSB,4.16667
2010,Membership(Percentage(%)),IABD,2.08333
2010,Membership(Percentage(%)),IBRD,0.53476
2010,Membership(Percentage(%)),IFC,0.54945
2010,Membership(Percentage(%)),IMF,0.54945
2010,Membership(Percentage(%)),UNGA,0.52083
2010,Membership(Percentage(%)),WTO,0.65359
2014,Membership(Percentage(%)),AFDB,1.2658200000000002
2015,Membership(Percentage(%)),ADB,1.49254
2015,Membership(Percentage(%)),AFDB,1.25
2015,Membership(Percentage(%)),FSB,4.16667
2015,Membership(Percentage(%)),IABD,2.08333
2015,Membership(Percentage(%)),IBRD,0.53191
2015,Membership(Percentage(%)),IFC,0.54348
2015,Membership(Percentage(%)),IMF,0.53191
2015,Membership(Percentage(%)),UNGA,0.51813
2015,Membership(Percentage(%)),WTO,0.625
2016,Membership(Percentage(%)),ADB,1.493
2016,Membership(Percentage(%)),AFDB,1.25
2016,Membership(Percentage(%)),ECOSOC,1.85185
2016,Membership(Percentage(%)),FSB,4.16667
2016,Membership(Percentage(%)),IABD,2.08333
2016,Membership(Percentage(%)),IBRD,0.53191
2016,Membership(Percentage(%)),IFC,0.54348
2016,Membership(Percentage(%)),IMF,0.53191
2016,Membership(Percentage(%)),UNGA,0.51813
2016,Membership(Percentage(%)),WTO,0.61728
2017,Membership(Percentage(%)),ADB,1.493
2017,Membership(Percentage(%)),AFDB,1.25
2017,Membership(Percentage(%)),ECOSOC,1.85185
2017,Membership(Percentage(%)),FSB,4.16667
2017,Membership(Percentage(%)),IABD,2.08333
2017,Membership(Percentage(%)),IBRD,0.5291
2017,Membership(Percentage(%)),IFC,0.54348
2017,Membership(Percentage(%)),IMF,0.5291
2017,Membership(Percentage(%)),UNGA,0.51813
2017,Membership(Percentage(%)),WTO,0.6097600000000001
2018,Membership(Percentage(%)),ECOSOC,1.85185
2018,Membership(Percentage(%)),FSB,4.16667
2018,Membership(Percentage(%)),IBRD,0.5291
2018,Membership(Percentage(%)),IFC,0.54348
2018,Membership(Percentage(%)),IMF,0.5291
2018,Membership(Percentage(%)),UNGA,0.51813
2018,Membership(Percentage(%)),WTO,0.6097600000000001
2019,Membership(Percentage(%)),ECOSOC,1.852
2019,Membership(Percentage(%)),FSB,4.167
2019,Membership(Percentage(%)),IBRD,0.529
2019,Membership(Percentage(%)),IFC,0.5429999999999999
2019,Membership(Percentage(%)),IMF,0.529
2019,Membership(Percentage(%)),UNGA,0.518
2019,Membership(Percentage(%)),WTO,0.61
2000,Voting rights(Percentage(%)),ADB,4.4430000000000005
2000,Voting rights(Percentage(%)),AFDB,0.487
2000,Voting rights(Percentage(%)),IABD,0.0
2000,Voting rights(Percentage(%)),IBRD,0.99824
2000,Voting rights(Percentage(%)),IFC,0.6745399999999999
2000,Voting rights(Percentage(%)),IMF,0.77477
2000,Voting rights(Percentage(%)),UNGA,0.5291
2000,Voting rights(Percentage(%)),WTO,0.71429
2005,Voting rights(Percentage(%)),ADB,4.375
2005,Voting rights(Percentage(%)),AFDB,0.466
2005,Voting rights(Percentage(%)),ECOSOC,1.85185
2005,Voting rights(Percentage(%)),IABD,0.004
2005,Voting rights(Percentage(%)),IBRD,0.99261
2005,Voting rights(Percentage(%)),IFC,0.67248
2005,Voting rights(Percentage(%)),IMF,0.76245
2005,Voting rights(Percentage(%)),UNGA,0.52356
2005,Voting rights(Percentage(%)),WTO,0.67114
2010,Voting rights(Percentage(%)),ADB,4.875
2010,Voting rights(Percentage(%)),AFDB,0.458
2010,Voting rights(Percentage(%)),ECOSOC,1.85185
2010,Voting rights(Percentage(%)),FSB,3.84615
2010,Voting rights(Percentage(%)),IABD,0.004
2010,Voting rights(Percentage(%)),IBRD,0.99101
2010,Voting rights(Percentage(%)),IFC,0.67067
2010,Voting rights(Percentage(%)),IMF,1.3331
2010,Voting rights(Percentage(%)),UNGA,0.52083
2010,Voting rights(Percentage(%)),WTO,0.65359
2014,Voting rights(Percentage(%)),AFDB,0.455
2015,Voting rights(Percentage(%)),ADB,4.333
2015,Voting rights(Percentage(%)),AFDB,0.47
2015,Voting rights(Percentage(%)),FSB,3.50877
2015,Voting rights(Percentage(%)),IABD,0.004
2015,Voting rights(Percentage(%)),IBRD,1.64929
2015,Voting rights(Percentage(%)),IFC,1.06731
2015,Voting rights(Percentage(%)),IMF,1.36485
2015,Voting rights(Percentage(%)),UNGA,0.51813
2015,Voting rights(Percentage(%)),WTO,0.625
2016,Voting rights(Percentage(%)),ADB,4.329
2016,Voting rights(Percentage(%)),AFDB,0.48823
2016,Voting rights(Percentage(%)),ECOSOC,1.85185
2016,Voting rights(Percentage(%)),FSB,3.50877
2016,Voting rights(Percentage(%)),IABD,0.004
2016,Voting rights(Percentage(%)),IBRD,1.65
2016,Voting rights(Percentage(%)),IFC,1.06731
2016,Voting rights(Percentage(%)),IMF,1.75
2016,Voting rights(Percentage(%)),UNGA,0.51813
2016,Voting rights(Percentage(%)),WTO,0.61728
2017,Voting rights(Percentage(%)),ADB,4.329
2017,Voting rights(Percentage(%)),AFDB,0.48823
2017,Voting rights(Percentage(%)),ECOSOC,1.85185
2017,Voting rights(Percentage(%)),FSB,3.50877
2017,Voting rights(Percentage(%)),IABD,0.004
2017,Voting rights(Percentage(%)),IBRD,1.61914
2017,Voting rights(Percentage(%)),IFC,1.06731
2017,Voting rights(Percentage(%)),IMF,1.73522
2017,Voting rights(Percentage(%)),UNGA,0.51813
2017,Voting rights(Percentage(%)),WTO,0.6097600000000001
2018,Voting rights(Percentage(%)),ECOSOC,1.85185
2018,Voting rights(Percentage(%)),FSB,3.50877
2018,Voting rights(Percentage(%)),IBRD,1.58562
2018,Voting rights(Percentage(%)),IFC,1.06614
2018,Voting rights(Percentage(%)),IMF,1.73487
2018,Voting rights(Percentage(%)),UNGA,0.51813
2018,Voting rights(Percentage(%)),WTO,0.6097600000000001
2019,Voting rights(Percentage(%)),ECOSOC,1.85185
2019,Voting rights(Percentage(%)),FSB,3.50877
2019,Voting rights(Percentage(%)),IBRD,1.55654
2019,Voting rights(Percentage(%)),IFC,1.05891
2019,Voting rights(Percentage(%)),IMF,1.73442
2019,Voting rights(Percentage(%)),UNGA,0.51813
2019,Voting rights(Percentage(%)),WTO,0.6097600000000001
