Year,cause of death,SEX,Value
2000,Malignant neoplasms,,122.4
2000,Malignant neoplasms,MALE,156.0
2000,Malignant neoplasms,FEMALE,88.6
2000,Diabetes mellitus,,22.7
2000,Diabetes mellitus,MALE,22.6
2000,Diabetes mellitus,FEMALE,22.8
2000,Diseases of the circulatory system,,123.8
2000,Diseases of the circulatory system,MALE,119.4
2000,Diseases of the circulatory system,FEMALE,128.2
2000,Diseases of the respiratory system,,34.0
2000,Diseases of the respiratory system,MALE,38.7
2000,Diseases of the respiratory system,FEMALE,29.3
2001,Malignant neoplasms,,123.8
2001,Malignant neoplasms,MALE,157.3
2001,Malignant neoplasms,FEMALE,90.1
2001,Diabetes mellitus,,23.9
2001,Diabetes mellitus,MALE,23.6
2001,Diabetes mellitus,FEMALE,24.3
2001,Diseases of the circulatory system,,121.3
2001,Diseases of the circulatory system,MALE,117.7
2001,Diseases of the circulatory system,FEMALE,125.0
2001,Diseases of the respiratory system,,32.9
2001,Diseases of the respiratory system,MALE,37.8
2001,Diseases of the respiratory system,FEMALE,27.9
2002,Malignant neoplasms,,130.9
2002,Malignant neoplasms,MALE,166.4
2002,Malignant neoplasms,FEMALE,95.2
2002,Diabetes mellitus,,25.2
2002,Diabetes mellitus,MALE,24.4
2002,Diabetes mellitus,FEMALE,26.1
2002,Diseases of the circulatory system,,128.4
2002,Diseases of the circulatory system,MALE,121.8
2002,Diseases of the circulatory system,FEMALE,135.1
2002,Diseases of the respiratory system,,34.7
2002,Diseases of the respiratory system,MALE,38.7
2002,Diseases of the respiratory system,FEMALE,30.6
2003,Malignant neoplasms,,131.9
2003,Malignant neoplasms,MALE,166.3
2003,Malignant neoplasms,FEMALE,97.3
2003,Diabetes mellitus,,25.2
2003,Diabetes mellitus,MALE,24.9
2003,Diabetes mellitus,FEMALE,25.4
2003,Diseases of the circulatory system,,125.2
2003,Diseases of the circulatory system,MALE,118.5
2003,Diseases of the circulatory system,FEMALE,131.9
2003,Diseases of the respiratory system,,30.1
2003,Diseases of the respiratory system,MALE,34.2
2003,Diseases of the respiratory system,FEMALE,26.0
2004,Malignant neoplasms,,133.4
2004,Malignant neoplasms,MALE,169.6
2004,Malignant neoplasms,FEMALE,97.1
2004,Diabetes mellitus,,24.4
2004,Diabetes mellitus,MALE,24.2
2004,Diabetes mellitus,FEMALE,24.6
2004,Diseases of the circulatory system,,120.9
2004,Diseases of the circulatory system,MALE,115.6
