Year,Banking service,Value
2004,ATMs,208.158009939999
2005,ATMs,212.13575440605098
2006,ATMs,218.23655018957803
2007,ATMs,234.219408619483
2008,ATMs,241.79599020274398
2009,ATMs,247.090642194762
2010,ATMs,265.375150216093
2011,ATMs,281.231399925897
2012,ATMs,288.445031623041
2013,ATMs,288.585452999092
2014,ATMs,280.808057799033
2015,ATMs,275.880821776724
2016,ATMs,271.395911763235
2017,ATM,272.040425674793
2004,Commercial bank branches,16.797569077846198
2005,Commercial bank branches,17.331970774702498
2006,Commercial bank branches,17.8238438996295
2007,Commercial bank branches,18.3071375421041
2008,Commercial bank branches,18.696696189598
2009,Commercial bank branches,18.1921552973483
2010,Commercial bank branches,18.1791478775785
2011,Commercial bank branches,18.2208197712459
2012,Commercial bank branches,18.312368452456997
2013,Commercial bank branches,18.020911365199694
2014,Commercial bank branches,17.1967351508063
2015,Commercial bank branches,16.7514660374712
2016,Commercial bank branches,16.2288014664664
2017,Commercial bank branches,15.405443392507902
