Year,Sex,Value
2000,,10.8
2000,MALE,13.6
2000,FEMALE,9.0
2001,,10.2
2001,MALE,12.7
2001,FEMALE,8.6
2002,,8.5
2002,MALE,10.3
2002,FEMALE,7.5
2003,,10.1
2003,MALE,11.9
2003,FEMALE,9.0
2004,,10.5
2004,MALE,12.2
2004,FEMALE,9.4
2005,,10.2
2005,MALE,12.2
2005,FEMALE,9.0
2006,,10.0
2006,MALE,11.7
2006,FEMALE,9.0
2007,,8.8
2007,MALE,11.4
2007,FEMALE,7.2
2008,,9.3
2008,MALE,11.5
2008,FEMALE,7.9
2009,,9.9
2009,MALE,11.9
2009,FEMALE,8.6
2010,,9.8
2010,MALE,11.2
2010,FEMALE,9.0
2011,,9.6
2011,MALE,12.1
2011,FEMALE,8.1
2012,,9.0
2012,MALE,9.7
2012,FEMALE,8.5
2013,,9.3
2013,MALE,9.8
2013,FEMALE,9.0
2014,,10.0
2014,MALE,11.2
2014,FEMALE,9.2
2015,,10.5
2015,MALE,11.3
2015,FEMALE,10.0
2016,,10.7
2016,MALE,11.0
2016,FEMALE,10.5
2017,,10.4
2017,MALE,11.3
2017,FEMALE,9.7
