Year,Developing country participation,Institution,Observation status,Unit multiplier,Unit measure,Value
2000,Voting rights in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),4.443
2000,Voting rights in international organisations,African Development Bank,Undefined,Units,Percentage (%),0.487
2000,Voting rights in international organisations,InterAmerican Development Bank,Undefined,Units,Percentage (%),0
2000,Voting rights in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),0.99824
2000,Voting rights in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),0.67454
2000,Voting rights in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.5291
2000,Voting rights in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.71429
2005,Voting rights in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),4.375
2005,Voting rights in international organisations,African Development Bank,Undefined,Units,Percentage (%),0.466
2005,Voting rights in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85185
2005,Voting rights in international organisations,InterAmerican Development Bank,Undefined,Units,Percentage (%),0.004
2005,Voting rights in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),0.99261
2005,Voting rights in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),0.67248
2005,Voting rights in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),0.76245
2005,Voting rights in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.52356
2005,Voting rights in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.67114
2010,Voting rights in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),4.875
2010,Voting rights in international organisations,African Development Bank,Undefined,Units,Percentage (%),0.458
2010,Voting rights in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85185
2010,Voting rights in international organisations,Financial Stability Board,Undefined,Units,Percentage (%),3.84615
2010,Voting rights in international organisations,InterAmerican Development Bank,Undefined,Units,Percentage (%),0.004
2010,Voting rights in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),0.99101
2010,Voting rights in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),0.67067
2010,Voting rights in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),1.3331
2010,Voting rights in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.52083
2010,Voting rights in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.65359
2014,Voting rights in international organisations,African Development Bank,Undefined,Units,Percentage (%),0.455
2015,Voting rights in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),4.333
2015,Voting rights in international organisations,African Development Bank,Undefined,Units,Percentage (%),0.47
2015,Voting rights in international organisations,Financial Stability Board,Undefined,Units,Percentage (%),3.50877
2015,Voting rights in international organisations,InterAmerican Development Bank,Undefined,Units,Percentage (%),0.004
2015,Voting rights in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),1.64929
2015,Voting rights in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),1.06731
2015,Voting rights in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),1.36485
2015,Voting rights in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.51813
2015,Voting rights in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.625
2016,Voting rights in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),4.329
2016,Voting rights in international organisations,African Development Bank,Undefined,Units,Percentage (%),0.48823
2016,Voting rights in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85185
2016,Voting rights in international organisations,Financial Stability Board,Undefined,Units,Percentage (%),3.50877
2016,Voting rights in international organisations,InterAmerican Development Bank,Undefined,Units,Percentage (%),0.004
2016,Voting rights in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),1.65
2016,Voting rights in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),1.06731
2016,Voting rights in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),1.75
2016,Voting rights in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.51813
2016,Voting rights in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.61728
2017,Voting rights in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),4.329
2017,Voting rights in international organisations,African Development Bank,Undefined,Units,Percentage (%),0.48823
2017,Voting rights in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85185
2017,Voting rights in international organisations,Financial Stability Board,Undefined,Units,Percentage (%),3.50877
2017,Voting rights in international organisations,InterAmerican Development Bank,Undefined,Units,Percentage (%),0.004
2017,Voting rights in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),1.61914
2017,Voting rights in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),1.06731
2017,Voting rights in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),1.73522
2017,Voting rights in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.51813
2017,Voting rights in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.60976
2018,Voting rights in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85185
2018,Voting rights in international organisations,Financial Stability Board,Undefined,Units,Percentage (%),3.50877
2018,Voting rights in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),1.58562
2018,Voting rights in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),1.06614
