Year,Category,Value
2000,Freshwater,36.75545
2001,Freshwater,36.75545
2002,Freshwater,36.75545
2003,Freshwater,36.75545
2004,Freshwater,36.770340000000004
2005,Freshwater,36.7755
2006,Freshwater,36.78096
2007,Freshwater,36.78133
2008,Freshwater,36.78133
2009,Freshwater,36.78133
2010,Freshwater,36.78133
2011,Freshwater,36.78133
2012,Freshwater,36.78133
2013,Freshwater,36.78861
2014,Freshwater,36.78861
2015,Freshwater,36.78861
2016,Freshwater,36.78861
2017,Freshwater,36.78861
2018,Freshwater,36.78861
2019,Freshwater,36.78861
2000,Terrestrial,24.81306
2001,Terrestrial,24.81306
2002,Terrestrial,24.81702
2003,Terrestrial,25.93083
2004,Terrestrial,25.94368
2005,Terrestrial,26.400170000000003
2006,Terrestrial,29.51442
2007,Terrestrial,29.95778
2008,Terrestrial,33.37738
2009,Terrestrial,33.78673
2010,Terrestrial,33.78673
2011,Terrestrial,33.894740000000006
2012,Terrestrial,36.394740000000006
2013,Terrestrial,36.397290000000005
2014,Terrestrial,36.397290000000005
2015,Terrestrial,36.398270000000004
2016,Terrestrial,36.398270000000004
2017,Terrestrial,36.52263
2018,Terrestrial,37.47495
2019,Terrestrial,37.47495
