Year,Worldwide weighted tariff-average,type of product,Value
2005,Most-favoured-nation status,AGR,86.03
2005,Most-favoured-nation status,ALP,7.9
2005,Most-favoured-nation status,ARM,0.09
2005,Most-favoured-nation status,CLO,12.85
2005,Most-favoured-nation status,IND,4.02
2005,Most-favoured-nation status,OIL,5.0
2005,Most-favoured-nation status,TEX,8.52
2010,Most-favoured-nation status,AGR,81.91
2010,Most-favoured-nation status,ALP,7.2
2010,Most-favoured-nation status,ARM,0.09
2010,Most-favoured-nation status,CLO,12.8
2010,Most-favoured-nation status,IND,3.75
2010,Most-favoured-nation status,OIL,3.0
2010,Most-favoured-nation status,TEX,8.08
2015,Most-favoured-nation status,AGR,81.16
2015,Most-favoured-nation status,ALP,8.71
2015,Most-favoured-nation status,ARM,0.23
2015,Most-favoured-nation status,CLO,12.84
2015,Most-favoured-nation status,IND,4.22
2015,Most-favoured-nation status,OIL,3.0
2015,Most-favoured-nation status,TEX,8.23
2016,Most-favoured-nation status,AGR,84.76
2016,Most-favoured-nation status,ALP,8.69
2016,Most-favoured-nation status,ARM,0.24
2016,Most-favoured-nation status,CLO,12.87
2016,Most-favoured-nation status,IND,3.86
2016,Most-favoured-nation status,OIL,3.0
2016,Most-favoured-nation status,TEX,8.26
2017,Most-favoured-nation status,AGR,71.62
2017,Most-favoured-nation status,ALP,8.58
2017,Most-favoured-nation status,ARM,0.26
2017,Most-favoured-nation status,CLO,12.83
2017,Most-favoured-nation status,IND,4.92
2017,Most-favoured-nation status,OIL,3.0
2017,Most-favoured-nation status,TEX,8.25
2018,Most-favoured-nation status,AGR,71.62
2018,Most-favoured-nation status,ALP,8.58
2018,Most-favoured-nation status,ARM,0.26
2018,Most-favoured-nation status,CLO,12.83
2018,Most-favoured-nation status,IND,4.92
2018,Most-favoured-nation status,OIL,3.0
2018,Most-favoured-nation status,TEX,8.25
2005,Preferential status,AGR,85.92
2005,Preferential status,ALP,7.86
2005,Preferential status,ARM,0.09
2005,Preferential status,CLO,11.69
2005,Preferential status,IND,3.99
2005,Preferential status,OIL,5.0
2005,Preferential status,TEX,8.45
2010,Preferential status,AGR,81.35
2010,Preferential status,ALP,6.88
2010,Preferential status,ARM,0.09
2010,Preferential status,CLO,10.17
2010,Preferential status,IND,3.42
2010,Preferential status,OIL,2.99
2010,Preferential status,TEX,7.02
2015,Preferential status,AGR,68.04
2015,Preferential status,ALP,6.07
2015,Preferential status,ARM,0.01
2015,Preferential status,CLO,5.3
2015,Preferential status,IND,2.07
2015,Preferential status,OIL,2.83
2015,Preferential status,TEX,4.66
2016,Preferential status,AGR,72.26
2016,Preferential status,ALP,6.65
2016,Preferential status,ARM,0.01
2016,Preferential status,CLO,5.75
2016,Preferential status,IND,2.4
2016,Preferential status,OIL,2.9
2016,Preferential status,TEX,5.22
2017,Preferential status,AGR,52.19
2017,Preferential status,ALP,4.9
2017,Preferential status,ARM,0.0
2017,Preferential status,CLO,3.74
2017,Preferential status,IND,1.94
2017,Preferential status,OIL,2.78
2017,Preferential status,TEX,3.51
2018,Preferential status,AGR,49.71
2018,Preferential status,ALP,4.68
2018,Preferential status,ARM,0.0
2018,Preferential status,CLO,3.45
2018,Preferential status,IND,1.86
2018,Preferential status,OIL,2.77
2018,Preferential status,TEX,3.26
