Year,SEX,Value
2000,,13.7
2000,MALE,19
2000,FEMALE,8.4
2001,,14.6
2001,MALE,20.3
2001,FEMALE,8.7
2002,,18
2002,MALE,24.7
2002,FEMALE,11.2
2003,,22.7
2003,MALE,31.2
2003,FEMALE,14.1
2004,,23.9
2004,MALE,32.6
2004,FEMALE,15
2005,,24.8
2005,MALE,33.1
2005,FEMALE,16.6
2006,,22
2006,MALE,29.7
2006,FEMALE,14.2
2007,,24.9
2007,MALE,31.6
2007,FEMALE,18.2
2008,,26
2008,MALE,33.4
2008,FEMALE,18.7
2009,,31
2009,MALE,39.9
2009,FEMALE,22.1
2010,,31.2
2010,MALE,41.4
2010,FEMALE,21
2011,,31.7
2011,MALE,43.3
2011,FEMALE,20.1
2012,,28.1
2012,MALE,38.2
2012,FEMALE,18
2013,,28.5
2013,MALE,39.8
2013,FEMALE,17.3
2014,,27.3
2014,MALE,38.4
2014,FEMALE,16.1
2015,,26.5
2015,MALE,37.5
2015,FEMALE,15.5
2016,,25.6
2016,MALE,36.2
2016,FEMALE,15
2017,,24.3
2017,MALE,34.9
2017,FEMALE,13.8
2018,,26.6
2018,MALE,38.5
2018,FEMALE,14.8
