Year,Sex,Value
2000,,25
2000,MALE,36.1
2000,FEMALE,13.9
2001,,20.5
2001,MALE,29.9
2001,FEMALE,11.1
2002,,18.6
2002,MALE,26.6
2002,FEMALE,10.6
2003,,18.8
2003,MALE,27.2
2003,FEMALE,10.3
2004,,16.8
2004,MALE,24.5
2004,FEMALE,9.1
2005,,16
2005,MALE,23.4
2005,FEMALE,8.6
2006,,15.8
2006,MALE,22.9
2006,FEMALE,8.6
2007,,15.3
2007,MALE,22.4
2007,FEMALE,8.1
2008,,14.5
2008,MALE,21.4
2008,FEMALE,7.6
2009,,14.1
2009,MALE,20.8
2009,FEMALE,7.4
2010,,13.4
2010,MALE,19.6
2010,FEMALE,7.2
2011,,12.4
2011,MALE,18.2
2011,FEMALE,6.5
2012,,12.7
2012,MALE,18.5
2012,FEMALE,6.8
2013,,11.7
2013,MALE,17
2013,FEMALE,6.4
2014,,10.8
2014,MALE,15.9
2014,FEMALE,5.7
2015,,10.7
2015,MALE,15.5
2015,FEMALE,5.8
2016,,9.9
2016,MALE,14.3
2016,FEMALE,5.4
2017,,9.6
2017,MALE,14.2
2017,FEMALE,5
2018,,8.9
2018,MALE,12.9
2018,FEMALE,4.9
