Year,Province,Value
2000,Whole country,2.6
2000,Seoul,1.3
2000,Busan,1.4
2000,Daegu,1.6
2000,Incheon,2.4
2000,Gwangju,3.2
2000,Daejeon,2.9
2000,Ulsan,1.7
2000,sejong-si,
2000,Gyeonggi-do,3
2000,Gangwon-do,3.9
2000,Chungcheongbuk-do,3.9
2000,Chungcheongnam-do,5.1
2000,Jeollabuk-do,4.5
2000,Jeollanam-do,4.5
2000,Gyeongsangbuk-do,2.6
2000,Gyeongsangnam-do,2.7
2000,Jeju,4.1
2001,Whole country,2.4
2001,Seoul,2.4
2001,Busan,2.4
2001,Daegu,2.4
2001,Incheon,2.4
2001,Gwangju,2.4
2001,Daejeon,2.4
2001,Ulsan,2.4
2001,sejong-si,2.4
2001,Gyeonggi-do,2.4
2001,Gangwon-do,2.4
2001,Chungcheongbuk-do,2.4
2001,Chungcheongnam-do,2.4
2001,Jeollabuk-do,2.4
2001,Jeollanam-do,2.4
2001,Gyeongsangbuk-do,2.4
2001,Gyeongsangnam-do,2.4
2001,Jeju,2.4
2002,Whole country,2.7
2002,Seoul,2.2
2002,Busan,2
2002,Daegu,1.5
2002,Incheon,3.3
2002,Gwangju,3.8
2002,Daejeon,3.4
2002,Ulsan,2.7
2002,sejong-si,
2002,Gyeonggi-do,3
2002,Gangwon-do,3.8
2002,Chungcheongbuk-do,3.7
2002,Chungcheongnam-do,4.1
2002,Jeollabuk-do,3.5
2002,Jeollanam-do,3.4
2002,Gyeongsangbuk-do,2.2
2002,Gyeongsangnam-do,1.9
2002,Jeju,3.2
2003,Whole country,2.5
2003,Seoul,1.8
2003,Busan,1.6
2003,Daegu,1.8
2003,Incheon,2.4
2003,Gwangju,3.1
2003,Daejeon,2.6
2003,Ulsan,2.2
2003,sejong-si,
2003,Gyeonggi-do,2.8
2003,Gangwon-do,3.1
2003,Chungcheongbuk-do,3.2
2003,Chungcheongnam-do,3.9
2003,Jeollabuk-do,3.6
2003,Jeollanam-do,4.3
2003,Gyeongsangbuk-do,2.5
2003,Gyeongsangnam-do,2.5
2003,Jeju,2.5
2004,Whole country,2.4
2004,Seoul,1.7
2004,Busan,1.5
2004,Daegu,1.6
2004,Incheon,2.1
2004,Gwangju,2.7
2004,Daejeon,2.2
2004,Ulsan,2.4
2004,sejong-si,
2004,Gyeonggi-do,2.8
2004,Gangwon-do,3
2004,Chungcheongbuk-do,3.2
2004,Chungcheongnam-do,3.9
2004,Jeollabuk-do,3.5
2004,Jeollanam-do,4
2004,Gyeongsangbuk-do,2.1
2004,Gyeongsangnam-do,1.7
2004,Jeju,2.8
2005,Whole country,2.2
2005,Seoul,1.5
2005,Busan,1.2
2005,Daegu,1.7
2005,Incheon,2.1
2005,Gwangju,2
2005,Daejeon,2.1
2005,Ulsan,1.9
2005,sejong-si,
2005,Gyeonggi-do,2.3
2005,Gangwon-do,2.7
2005,Chungcheongbuk-do,2.9
2005,Chungcheongnam-do,3.3
2005,Jeollabuk-do,3.3
2005,Jeollanam-do,3.6
2005,Gyeongsangbuk-do,2.6
2005,Gyeongsangnam-do,2.2
2005,Jeju,2.2
2006,Whole country,2.2
2006,Seoul,1.5
2006,Busan,1.1
2006,Daegu,1.6
2006,Incheon,2
2006,Gwangju,2.3
2006,Daejeon,2
2006,Ulsan,2.1
2006,sejong-si,
2006,Gyeonggi-do,2.2
2006,Gangwon-do,2.9
2006,Chungcheongbuk-do,2.6
2006,Chungcheongnam-do,3.7
2006,Jeollabuk-do,3.6
2006,Jeollanam-do,3.6
2006,Gyeongsangbuk-do,3
2006,Gyeongsangnam-do,2.6
2006,Jeju,3.2
2007,Whole country,2.3
2007,Seoul,1.4
2007,Busan,1.7
2007,Daegu,1.8
2007,Incheon,1.8
2007,Gwangju,2.2
2007,Daejeon,1.8
2007,Ulsan,2.5
2007,sejong-si,
2007,Gyeonggi-do,2.1
2007,Gangwon-do,2.8
2007,Chungcheongbuk-do,2.9
2007,Chungcheongnam-do,3.4
2007,Jeollabuk-do,3.7
2007,Jeollanam-do,4.8
2007,Gyeongsangbuk-do,3.7
2007,Gyeongsangnam-do,2.8
2007,Jeju,2.2
2008,Whole country,1.7
2008,Seoul,1.1
2008,Busan,1.3
2008,Daegu,1.5
2008,Incheon,1.2
2008,Gwangju,2.1
2008,Daejeon,2.2
2008,Ulsan,1.5
2008,sejong-si,
2008,Gyeonggi-do,1.6
2008,Gangwon-do,2.3
2008,Chungcheongbuk-do,2
2008,Chungcheongnam-do,2.7
2008,Jeollabuk-do,2.4
2008,Jeollanam-do,3.2
2008,Gyeongsangbuk-do,2.3
2008,Gyeongsangnam-do,2.4
2008,Jeju,1.9
2009,Whole country,1.7
2009,Seoul,1
2009,Busan,1.5
2009,Daegu,1.2
2009,Incheon,1.9
2009,Gwangju,1.7
2009,Daejeon,2.2
2009,Ulsan,1.3
2009,sejong-si,
2009,Gyeonggi-do,1.5
2009,Gangwon-do,2.5
2009,Chungcheongbuk-do,2.3
2009,Chungcheongnam-do,2.6
2009,Jeollabuk-do,2.4
2009,Jeollanam-do,3.4
2009,Gyeongsangbuk-do,2.3
2009,Gyeongsangnam-do,2.2
2009,Jeju,2.8
2010,Whole country,1.8
2010,Seoul,1.1
2010,Busan,1.6
2010,Daegu,1.3
2010,Incheon,2
2010,Gwangju,1.8
2010,Daejeon,1.4
2010,Ulsan,1.7
2010,sejong-si,
2010,Gyeonggi-do,1.6
2010,Gangwon-do,2.1
2010,Chungcheongbuk-do,2.2
2010,Chungcheongnam-do,2.6
2010,Jeollabuk-do,2.8
2010,Jeollanam-do,2.9
2010,Gyeongsangbuk-do,2.6
2010,Gyeongsangnam-do,2
2010,Jeju,2.6
2011,Whole country,1.8
2011,Seoul,1
2011,Busan,1.6
2011,Daegu,1.2
2011,Incheon,1.9
2011,Gwangju,2
2011,Daejeon,1.9
2011,Ulsan,1.5
2011,sejong-si,
2011,Gyeonggi-do,1.6
2011,Gangwon-do,2.6
2011,Chungcheongbuk-do,2.5
2011,Chungcheongnam-do,2.9
2011,Jeollabuk-do,2.8
2011,Jeollanam-do,3
2011,Gyeongsangbuk-do,2.5
2011,Gyeongsangnam-do,2.1
2011,Jeju,2.1
2012,Whole country,1.8
2012,Seoul,1.2
2012,Busan,1.6
2012,Daegu,1.1
2012,Incheon,1.8
2012,Gwangju,1.9
2012,Daejeon,2.3
2012,Ulsan,1.4
2012,sejong-si,2.2
2012,Gyeonggi-do,1.5
2012,Gangwon-do,2.3
2012,Chungcheongbuk-do,2.6
2012,Chungcheongnam-do,2.8
2012,Jeollabuk-do,2.6
2012,Jeollanam-do,2.7
2012,Gyeongsangbuk-do,2.1
2012,Gyeongsangnam-do,2.1
