Year,Sex,Value
2001,,30.2
2001,MALE,60.9
2001,FEMALE,5.2
2005,,28.8
2005,MALE,51.7
2005,FEMALE,5.7
2007,,25.3
2007,MALE,45.1
2007,FEMALE,5.3
2008,,27.8
2008,MALE,47.8
2008,FEMALE,7.4
2009,,27.3
2009,MALE,47
2009,FEMALE,7.1
2010,,27.5
2010,MALE,48.3
2010,FEMALE,6.3
2011,,27.1
2011,MALE,47.3
2011,FEMALE,6.8
2012,,25.8
2012,MALE,43.7
2012,FEMALE,7.9
2013,,24.1
2013,MALE,42.2
2013,FEMALE,6.2
2014,,24.2
2014,MALE,43.2
2014,FEMALE,5.7
2015,,22.6
2015,MALE,39.4
2015,FEMALE,5.5
2016,,23.9
2016,MALE,40.7
2016,FEMALE,6.4
2017,,22.3
2017,MALE,38.1
2017,FEMALE,6
2018,,22.4
2018,MALE,36.7
2018,FEMALE,7.5
