Year,Education level,Subject,Sex,Value
2000,LOWSEC,Maths,,92.7714714735394
2000,LOWSEC,Maths,MALE,94.19
2000,LOWSEC,Maths,FEMALE,91.01
2000,LOWSEC,Reading,,94.2475850815324
2000,LOWSEC,Reading,MALE,92.66
2000,LOWSEC,Reading,FEMALE,96.25
2003,LOWSEC,Maths,,90.4805272880011
2003,LOWSEC,Maths,MALE,91.48
2003,LOWSEC,Maths,FEMALE,89.01
2003,LOWSEC,Reading,,93.22865102589658
2003,LOWSEC,Reading,MALE,91.64
2003,LOWSEC,Reading,FEMALE,95.56
2006,LOWSEC,Maths,,91.14493839755801
2006,LOWSEC,Maths,MALE,90.92
2006,LOWSEC,Maths,FEMALE,91.38
2006,LOWSEC,Reading,,94.2216039225605
2006,LOWSEC,Reading,MALE,91.8
2006,LOWSEC,Reading,FEMALE,96.71
2009,LOWSEC,Maths,,91.87463745512329
2009,LOWSEC,Maths,MALE,90.88
2009,LOWSEC,Maths,FEMALE,92.99
2009,LOWSEC,Reading,,94.2059831374301
2009,LOWSEC,Reading,MALE,91.19
2009,LOWSEC,Reading,FEMALE,97.58
2011,GRAD23,Maths,,96.6250624829496
2011,GRAD23,Maths,MALE,96.55575535514922
2011,GRAD23,Maths,FEMALE,96.6999404824642
2012,LOWSEC,Maths,,90.8668931490637
2012,LOWSEC,Maths,MALE,90.82
2012,LOWSEC,Maths,FEMALE,90.92
2012,LOWSEC,Reading,,92.3523720149927
2012,LOWSEC,Reading,MALE,89.61
2012,LOWSEC,Reading,FEMALE,95.5
2015,LOWSEC,Maths,,84.5371147614201
2015,LOWSEC,Maths,MALE,82.2459157070967
2015,LOWSEC,Maths,FEMALE,87.0418200647324
2015,LOWSEC,Reading,,86.34297284626791
2015,LOWSEC,Reading,MALE,80.8356517643625
2015,LOWSEC,Reading,FEMALE,92.3634957226471
2015,GRAD23,Maths,,96.8516571848543
2015,GRAD23,Maths,MALE,96.6061791591358
2015,GRAD23,Maths,FEMALE,97.1149365852532
2018,LOWSEC,Maths,,85.0014731961941
2018,LOWSEC,Maths,MALE,84.43434677630451
2018,LOWSEC,Maths,FEMALE,85.626355330099
2018,LOWSEC,Reading,,84.8917292785689
2018,LOWSEC,Reading,MALE,81.3000049164239
2018,LOWSEC,Reading,FEMALE,88.84923205943451
