Year,Sex,Age,Bank account category,Unit measure,Unit multiplier,Observation status,Value
2013/14,,,Current account,Percentage (%),Units,Undefined,89.0
2014/15,,,Current account,Percentage (%),Units,Undefined,90.0
2015/16,,,Current account,Percentage (%),Units,Undefined,91.0
2016/17,,,Current account,Percentage (%),Units,Undefined,91.0
2017/18,,,Current account,Percentage (%),Units,Undefined,91.0
2013/14,,,NS&I Savings Account,Percentage (%),Units,Undefined,2.0
2014/15,,,NS&I Savings Account,Percentage (%),Units,Undefined,2.0
2015/16,,,NS&I Savings Account,Percentage (%),Units,Undefined,3.0
2016/17,,,NS&I Savings Account,Percentage (%),Units,Undefined,2.0
2017/18,,,NS&I Savings Account,Percentage (%),Units,Undefined,2.0
2013/14,,,Basic Bank account,Percentage (%),Units,Undefined,5.0
2014/15,,,Basic Bank account,Percentage (%),Units,Undefined,5.0
2015/16,,,Basic Bank account,Percentage (%),Units,Undefined,5.0
2016/17,,,Basic Bank account,Percentage (%),Units,Undefined,5.0
2017/18,,,Basic Bank account,Percentage (%),Units,Undefined,5.0
2013/14,,,Post Office Card Account (POCA),Percentage (%),Units,Undefined,2.0
2014/15,,,Post Office Card Account (POCA),Percentage (%),Units,Undefined,3.0
2015/16,,,Post Office Card Account (POCA),Percentage (%),Units,Undefined,3.0
2016/17,,,Post Office Card Account (POCA),Percentage (%),Units,Undefined,2.0
2017/18,,,Post Office Card Account (POCA),Percentage (%),Units,Undefined,2.0
2013/14,,,ISA,Percentage (%),Units,Undefined,33.0
2014/15,,,ISA,Percentage (%),Units,Undefined,32.0
2015/16,,,ISA,Percentage (%),Units,Undefined,32.0
2016/17,,,ISA,Percentage (%),Units,Undefined,31.0
2017/18,,,ISA,Percentage (%),Units,Undefined,29.0
2013/14,,,Other Bank / Building Society account,Percentage (%),Units,Undefined,36.0
2014/15,,,Other Bank / Building Society account,Percentage (%),Units,Undefined,36.0
2015/16,,,Other Bank / Building Society account,Percentage (%),Units,Undefined,36.0
2016/17,,,Other Bank / Building Society account,Percentage (%),Units,Undefined,35.0
2017/18,,,Other Bank / Building Society account,Percentage (%),Units,Undefined,35.0
2013/14,,,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,10.0
2014/15,,,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,11.0
2015/16,,,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,11.0
2016/17,,,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,11.0
2017/18,,,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,10.0
2013/14,,,Unit trusts,Percentage (%),Units,Undefined,2.0
2014/15,,,Unit trusts,Percentage (%),Units,Undefined,2.0
2015/16,,,Unit trusts,Percentage (%),Units,Undefined,2.0
2016/17,,,Unit trusts,Percentage (%),Units,Undefined,2.0
2017/18,,,Unit trusts,Percentage (%),Units,Undefined,2.0
2013/14,,,Endowment Policy (not linked),Percentage (%),Units,Undefined,1.0
2014/15,,,Endowment Policy (not linked),Percentage (%),Units,Undefined,
2015/16,,,Endowment Policy (not linked),Percentage (%),Units,Undefined,
2016/17,,,Endowment Policy (not linked),Percentage (%),Units,Undefined,
2017/18,,,Endowment Policy (not linked),Percentage (%),Units,Undefined,
2013/14,,,Premium Bonds,Percentage (%),Units,Undefined,13.0
2014/15,,,Premium Bonds,Percentage (%),Units,Undefined,13.0
2015/16,,,Premium Bonds,Percentage (%),Units,Undefined,14.0
2016/17,,,Premium Bonds,Percentage (%),Units,Undefined,13.0
2017/18,,,Premium Bonds,Percentage (%),Units,Undefined,13.0
2013/14,,,National Savings Bonds,Percentage (%),Units,Undefined,2.0
2014/15,,,National Savings Bonds,Percentage (%),Units,Undefined,2.0
2015/16,,,National Savings Bonds,Percentage (%),Units,Undefined,3.0
2016/17,,,National Savings Bonds,Percentage (%),Units,Undefined,2.0
2017/18,,,National Savings Bonds,Percentage (%),Units,Undefined,2.0
2013/14,,,Company Share Scheme / profit sharing,Percentage (%),Units,Undefined,2.0
2014/15,,,Company Share Scheme / profit sharing,Percentage (%),Units,Undefined,2.0
2015/16,,,Company Share Scheme / profit sharing,Percentage (%),Units,Undefined,2.0
2016/17,,,Company Share Scheme / profit sharing,Percentage (%),Units,Undefined,2.0
2017/18,,,Company Share Scheme / profit sharing,Percentage (%),Units,Undefined,2.0
2013/14,,,Credit Unions,Percentage (%),Units,Undefined,1.0
2014/15,,,Credit Unions,Percentage (%),Units,Undefined,1.0
2015/16,,,Credit Unions,Percentage (%),Units,Undefined,1.0
2016/17,,,Credit Unions,Percentage (%),Units,Undefined,1.0
2017/18,,,Credit Unions,Percentage (%),Units,Undefined,1.0
2013/14,,,Any other type of asset,Percentage (%),Units,Undefined,
2014/15,,,Any other type of asset,Percentage (%),Units,Undefined,1.0
2015/16,,,Any other type of asset,Percentage (%),Units,Undefined,
2016/17,,,Any other type of asset,Percentage (%),Units,Undefined,
2017/18,,,Any other type of asset,Percentage (%),Units,Undefined,
2013/14,,,,Percentage (%),Units,Undefined,94.0
2014/15,,,,Percentage (%),Units,Undefined,95.0
2015/16,,,,Percentage (%),Units,Undefined,95.0
2016/17,,,,Percentage (%),Units,Undefined,95.0
2017/18,,,,Percentage (%),Units,Undefined,94.0
2013/14,,,Any type of account (excluding POCAs),Percentage (%),Units,Undefined,93.0
2014/15,,,Any type of account (excluding POCAs),Percentage (%),Units,Undefined,94.0
2015/16,,,Any type of account (excluding POCAs),Percentage (%),Units,Undefined,94.0
2016/17,,,Any type of account (excluding POCAs),Percentage (%),Units,Undefined,94.0
2017/18,,,Any type of account (excluding POCAs),Percentage (%),Units,Undefined,94.0
2013/14,,,No accounts (including POCAs),Percentage (%),Units,Undefined,6.0
2014/15,,,No accounts (including POCAs),Percentage (%),Units,Undefined,5.0
2015/16,,,No accounts (including POCAs),Percentage (%),Units,Undefined,5.0
2016/17,,,No accounts (including POCAs),Percentage (%),Units,Undefined,5.0
2017/18,,,No accounts (including POCAs),Percentage (%),Units,Undefined,6.0
2013/14,,,No accounts (excluding POCAs),Percentage (%),Units,Undefined,7.0
2014/15,,,No accounts (excluding POCAs),Percentage (%),Units,Undefined,6.0
2015/16,,,No accounts (excluding POCAs),Percentage (%),Units,Undefined,6.0
2016/17,,,No accounts (excluding POCAs),Percentage (%),Units,Undefined,6.0
2017/18,,,No accounts (excluding POCAs),Percentage (%),Units,Undefined,6.0
2013/14,,,Any Direct Payment Account (including POCAs),Percentage (%),Units,Undefined,93.0
2014/15,,,Any Direct Payment Account (including POCAs),Percentage (%),Units,Undefined,94.0
2015/16,,,Any Direct Payment Account (including POCAs),Percentage (%),Units,Undefined,94.0
2016/17,,,Any Direct Payment Account (including POCAs),Percentage (%),Units,Undefined,94.0
2017/18,,,Any Direct Payment Account (including POCAs),Percentage (%),Units,Undefined,94.0
2013/14,,,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Undefined,92.0
2014/15,,,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Undefined,93.0
2015/16,,,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Undefined,94.0
2016/17,,,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Undefined,93.0
2017/18,,,Any Direct Payment Account (excluding POCAs),Percentage (%),Units,Undefined,93.0
2013/14,,16 to 24,Current account,Percentage (%),Units,Undefined,83.0
2014/15,,16 to 24,Current account,Percentage (%),Units,Undefined,84.0
2015/16,,16 to 24,Current account,Percentage (%),Units,Undefined,85.0
2016/17,,16 to 24,Current account,Percentage (%),Units,Undefined,86.0
2017/18,,16 to 24,Current account,Percentage (%),Units,Undefined,84.0
2013/14,,16 to 24,NS&I Savings Account,Percentage (%),Units,Undefined,1.0
2014/15,,16 to 24,NS&I Savings Account,Percentage (%),Units,Undefined,1.0
2015/16,,16 to 24,NS&I Savings Account,Percentage (%),Units,Undefined,1.0
2016/17,,16 to 24,NS&I Savings Account,Percentage (%),Units,Undefined,1.0
2017/18,,16 to 24,NS&I Savings Account,Percentage (%),Units,Undefined,1.0
2013/14,,16 to 24,Basic Bank account,Percentage (%),Units,Undefined,5.0
2014/15,,16 to 24,Basic Bank account,Percentage (%),Units,Undefined,6.0
2015/16,,16 to 24,Basic Bank account,Percentage (%),Units,Undefined,6.0
2016/17,,16 to 24,Basic Bank account,Percentage (%),Units,Undefined,5.0
2017/18,,16 to 24,Basic Bank account,Percentage (%),Units,Undefined,5.0
2013/14,,16 to 24,Post Office Card Account (POCA),Percentage (%),Units,Undefined,1.0
2014/15,,16 to 24,Post Office Card Account (POCA),Percentage (%),Units,Undefined,1.0
2015/16,,16 to 24,Post Office Card Account (POCA),Percentage (%),Units,Undefined,1.0
2016/17,,16 to 24,Post Office Card Account (POCA),Percentage (%),Units,Undefined,1.0
2017/18,,16 to 24,Post Office Card Account (POCA),Percentage (%),Units,Undefined,
2013/14,,16 to 24,ISA,Percentage (%),Units,Undefined,13.0
2014/15,,16 to 24,ISA,Percentage (%),Units,Undefined,13.0
2015/16,,16 to 24,ISA,Percentage (%),Units,Undefined,14.0
2016/17,,16 to 24,ISA,Percentage (%),Units,Undefined,12.0
2017/18,,16 to 24,ISA,Percentage (%),Units,Undefined,12.0
2013/14,,16 to 24,Other Bank / Building Society account,Percentage (%),Units,Undefined,18.0
2014/15,,16 to 24,Other Bank / Building Society account,Percentage (%),Units,Undefined,23.0
2015/16,,16 to 24,Other Bank / Building Society account,Percentage (%),Units,Undefined,23.0
2016/17,,16 to 24,Other Bank / Building Society account,Percentage (%),Units,Undefined,18.0
2017/18,,16 to 24,Other Bank / Building Society account,Percentage (%),Units,Undefined,21.0
2013/14,,16 to 24,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,1.0
2014/15,,16 to 24,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,1.0
2015/16,,16 to 24,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,2.0
2016/17,,16 to 24,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,1.0
2017/18,,16 to 24,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,1.0
2013/14,,16 to 24,Unit trusts,Percentage (%),Units,Undefined,
2014/15,,16 to 24,Unit trusts,Percentage (%),Units,Undefined,
2015/16,,16 to 24,Unit trusts,Percentage (%),Units,Undefined,
2016/17,,16 to 24,Unit trusts,Percentage (%),Units,Undefined,
2017/18,,16 to 24,Unit trusts,Percentage (%),Units,Undefined,
2013/14,,16 to 24,Endowment Policy (not linked),Percentage (%),Units,Undefined,0.0
2014/15,,16 to 24,Endowment Policy (not linked),Percentage (%),Units,Undefined,0.0
2015/16,,16 to 24,Endowment Policy (not linked),Percentage (%),Units,Undefined,0.0
2016/17,,16 to 24,Endowment Policy (not linked),Percentage (%),Units,Undefined,0.0
2017/18,,16 to 24,Endowment Policy (not linked),Percentage (%),Units,Undefined,0.0
2013/14,,16 to 24,Premium Bonds,Percentage (%),Units,Undefined,4.0
2014/15,,16 to 24,Premium Bonds,Percentage (%),Units,Undefined,3.0
2015/16,,16 to 24,Premium Bonds,Percentage (%),Units,Undefined,4.0
2016/17,,16 to 24,Premium Bonds,Percentage (%),Units,Undefined,3.0
2017/18,,16 to 24,Premium Bonds,Percentage (%),Units,Undefined,2.0
2013/14,,16 to 24,National Savings Bonds,Percentage (%),Units,Undefined,
