Year,Sex,Value
2006,,11172
2006,MALE,13064
2006,FEMALE,7915
2007,,12149
2007,MALE,14232
2007,FEMALE,8664
2008,,12920
2008,MALE,15152
2008,FEMALE,9217
2009,,12382
2009,MALE,14503
2009,FEMALE,8856
2010,,12878
2010,MALE,15095
2010,FEMALE,9300
2011,,13769
2011,MALE,16050
2011,FEMALE,10082
2012,,14967
2012,MALE,17317
2012,FEMALE,11228
2013,,16067
2013,MALE,18658
2013,FEMALE,12035
2014,,16701
2014,MALE,19505
2014,FEMALE,12500
2015,,15978
2015,MALE,18681
2015,FEMALE,11915
2016,,16709
2016,MALE,19476
2016,FEMALE,12573
2017,,17381
2017,MALE,20183
2017,FEMALE,13292
2018,,19522
2018,MALE,22515
2018,FEMALE,15265
2019,,20573
2019,MALE,23566
2019,FEMALE,16358
