Year,Units,Value
2000,Percentage(%) of GDP,21.55
2001,Percentage(%) of GDP,21.39
2002,Percentage(%) of GDP,21.7
2003,Percentage(%) of GDP,22.12
2004,Percentage(%) of GDP,23.19
2005,Percentage(%) of GDP,23.58
2006,Percentage(%) of GDP,24.14
2007,Percentage(%) of GDP,24.81
2008,Percentage(%) of GDP,25.06
2009,Percentage(%) of GDP,24.79
2010,Percentage(%) of GDP,26.4
2011,Percentage(%) of GDP,27.14
2012,Percentage(%) of GDP,27.19
2013,Percentage(%) of GDP,27.38
2014,Percentage(%) of GDP,27.41
2015,Percentage(%) of GDP,27.12
2016,Percentage(%) of GDP,27.0
2017,Percentage(%) of GDP,27.33
2018,Percentage(%) of GDP,27.47
2019,Percentage(%) of GDP,27.53
2000,GDP per capita,3520.1
2001,GDP per capita,3626.3
2002,GDP per capita,3927.9
2003,GDP per capita,4099.8
2004,GDP per capita,4486.0
2005,GDP per capita,4722.1
2006,GDP per capita,5065.1
2007,GDP per capita,5471.6
2008,GDP per capita,5665.8
2009,GDP per capita,5625.9
2010,GDP per capita,6356.1
2011,GDP per capita,6741.5
2012,GDP per capita,6870.1
2013,GDP per capita,7078.1
2014,GDP per capita,7287.1
2015,GDP per capita,7378.5
2016,GDP per capita,7538.2
2017,GDP per capita,7845.9
2018,GDP per capita,8083.5
2019,GDP per capita,8251.9
